id,condition,score,sparse.decorated,category
cs18,bugs_environment,7.9051383399206046E-3,sparse,envr
cs19,bugs_environment,NA,sparse,envr
cs20,bugs_environment,7.3122529644268353E-2,sparse,envr
cs21,bugs_environment,1.1857707509881063E-2,sparse,envr
cs22,bugs_environment,2.7667984189722904E-2,sparse,envr
cs23,bugs_environment,1.185770750988138E-2,sparse,envr
cs24,bugs_environment,1.5810276679841997E-2,sparse,envr
cs1,bugs_other,3.5273368606703226E-3,sparse,other
cs2,bugs_other,0,sparse,other
cs3,bugs_other,3.5273368606700407E-3,sparse,other
cs4,bugs_other,3.5273368606703226E-3,sparse,other
cs5,bugs_other,3.9525691699604602E-3,sparse,other
cs6,bugs_other,0,sparse,other
cs7,bugs_other,1.7636684303352318E-3,sparse,other
cs8,bugs_other,0,sparse,other
cs9,bugs_other,0,sparse,other
cs10,bugs_other,1.7636684303349499E-3,sparse,other
cs11,bugs_other,0,sparse,other
cs12,bugs_other,0,sparse,other
cs13,bugs_other,0,sparse,other
cs14,bugs_other,NA,sparse,other
cs16,bugs_other,NA,sparse,other
cs17,bugs_other,3.5273368606702168E-3,sparse,other
cs18,bugs_other,0,sparse,other
cs19,bugs_other,NA,sparse,other
cs20,bugs_other,1.383399209486161E-2,sparse,other
cs21,bugs_other,0,sparse,other
cs22,bugs_other,0,sparse,other
cs23,bugs_other,0,sparse,other
cs24,bugs_other,0,sparse,other
cs1,bugs_total_time_off_task,0.36155202821869525,sparse,tot
cs2,bugs_total_time_off_task,0.27272727272727315,sparse,tot
cs3,bugs_total_time_off_task,0.24338624338624429,sparse,tot
cs4,bugs_total_time_off_task,0.43033509700176392,sparse,tot
cs5,bugs_total_time_off_task,0.23913043478260768,sparse,tot
cs6,bugs_total_time_off_task,0.10758377425044127,sparse,tot
cs7,bugs_total_time_off_task,0.23104056437389833,sparse,tot
cs8,bugs_total_time_off_task,0.21739130434782492,sparse,tot
cs9,bugs_total_time_off_task,0.44444444444444431,sparse,tot
cs10,bugs_total_time_off_task,0.33509700176366797,sparse,tot
cs11,bugs_total_time_off_task,0.24162257495590772,sparse,tot
cs12,bugs_total_time_off_task,0.55533596837944665,sparse,tot
cs13,bugs_total_time_off_task,0.31040564373897772,sparse,tot
cs14,bugs_total_time_off_task,NA,sparse,tot
cs16,bugs_total_time_off_task,NA,sparse,tot
cs17,bugs_total_time_off_task,0.29629629629629639,sparse,tot
cs18,bugs_total_time_off_task,0.23913043478260845,sparse,tot
cs19,bugs_total_time_off_task,NA,sparse,tot
cs20,bugs_total_time_off_task,0.56719367588932856,sparse,tot
cs21,bugs_total_time_off_task,0.37944664031620584,sparse,tot
cs22,bugs_total_time_off_task,0.48023715415019697,sparse,tot
cs23,bugs_total_time_off_task,0.33399209486165982,sparse,tot
cs24,bugs_total_time_off_task,0.18972332015810295,sparse,tot
cs1,sparse_self,0.12823052805748855,sparse,self
cs2,sparse_self,1.2808888814188707E-2,sparse,self
cs3,sparse_self,3.2779089597271653E-2,sparse,self
cs4,sparse_self,5.1997206269735934E-3,sparse,self
cs5,sparse_self,4.9139906133096413E-2,sparse,self
cs6,sparse_self,1.1388536641062005E-2,sparse,self
cs7,sparse_self,7.0090313893245671E-3,sparse,self
cs8,sparse_self,6.9153619826901472E-3,sparse,self
cs9,sparse_self,9.2925250419412311E-3,sparse,self
cs10,sparse_self,2.6171641369581899E-2,sparse,self
cs11,sparse_self,3.4359307318706497E-2,sparse,self
cs12,sparse_self,8.0388281794930516E-2,sparse,self
cs13,sparse_self,2.6455026455026398E-2,sparse,self
cs14,sparse_self,2.4258155114068743E-3,sparse,self
cs16,sparse_self,1.1044176706827391E-2,sparse,self
cs17,sparse_self,4.2085681206695518E-3,sparse,self
cs18,sparse_self,1.1790788668119027E-2,sparse,self
cs19,sparse_self,5.7867834976268753E-2,sparse,self
cs20,sparse_self,0.29904131756040675,sparse,self
cs21,sparse_self,9.108603677672783E-2,sparse,self
cs22,sparse_self,0.11942025250502127,sparse,self
cs23,sparse_self,3.7401718787107081E-2,sparse,self
cs24,sparse_self,3.216337410402681E-2,sparse,self
cs1,sparse_peer,0.21489221595436972,sparse,peer
cs2,sparse_peer,0.26116385249593299,sparse,peer
cs3,sparse_peer,0.10821599836751369,sparse,peer
cs4,sparse_peer,0.22820872665418399,sparse,peer
cs5,sparse_peer,0.18770999677233299,sparse,peer
cs6,sparse_peer,4.7751772407803574E-2,sparse,peer
